SiteCode,SiteName,UnitCode,SubUnitCode,EventDate,SiteType,Project,QCtype,SampleDepth_m,Parameter,Value,ValueFlag,FlagComments
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,DOsat_pct,96.75,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,SpCond_uScm,33.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,Temp_C,19.315,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,Temp_F,66.767,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,pH,5.765,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,DO_mgL,8.51,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,DOsat_pct,95.3,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,0,SpCond_uScm,30.7,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,Temp_C,20.9,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,Temp_F,69.62,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,0,pH,7.02,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,DO_mgL,9.39,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,DOsat_pct,100.6,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,SpCond_uScm,34,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,Temp_C,18.72,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,Temp_F,65.696,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,pH,5.57,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/24/2007,Lake,NETN+ACID,0,0.999,DO_mgL,10.08,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/24/2007,Lake,NETN+ACID,0,0.999,DOsat_pct,96.6,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/24/2007,Lake,NETN+ACID,0,0.999,SpCond_uScm,34,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/24/2007,Lake,NETN+ACID,0,0.999,Temp_C,13.46,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/24/2007,Lake,NETN+ACID,0,0.999,Temp_F,56.228,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/24/2007,Lake,NETN+ACID,0,0.999,pH,6.83,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/28/2008,Lake,NETN_LS,0,1.045,DO_mgL,9.92,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/28/2008,Lake,NETN_LS,0,1.045,DOsat_pct,97.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/28/2008,Lake,NETN_LS,0,1.045,SpCond_uScm,31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/28/2008,Lake,NETN_LS,0,1.045,Temp_C,14.63,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/28/2008,Lake,NETN_LS,0,1.045,Temp_F,58.334,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/28/2008,Lake,NETN_LS,0,1.045,pH,6.77,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/17/2008,Lake,NETN_LS,0,0.987,DO_mgL,9.16,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/17/2008,Lake,NETN_LS,0,0.987,DOsat_pct,97,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/17/2008,Lake,NETN_LS,0,0.987,SpCond_uScm,31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/17/2008,Lake,NETN_LS,0,0.987,Temp_C,18.18,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/17/2008,Lake,NETN_LS,0,0.987,Temp_F,64.724,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/17/2008,Lake,NETN_LS,0,0.987,pH,6.8,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2008,Lake,NETN_LS,0,0.5145,DO_mgL,8.57,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2008,Lake,NETN_LS,0,0.5145,DOsat_pct,99.3,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2008,Lake,NETN_LS,0,0.5145,SpCond_uScm,32,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2008,Lake,NETN_LS,0,0.5145,Temp_C,22.69,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2008,Lake,NETN_LS,0,0.5145,Temp_F,72.842,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2008,Lake,NETN_LS,0,0.5145,pH,6.8,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/25/2008,Lake,NETN_LS,0,0.506,DO_mgL,8.745,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/25/2008,Lake,NETN_LS,0,0.506,DOsat_pct,98.45,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/25/2008,Lake,NETN_LS,0,0.506,SpCond_uScm,31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/25/2008,Lake,NETN_LS,0,0.506,Temp_C,21.205,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/25/2008,Lake,NETN_LS,0,0.506,Temp_F,70.169,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/25/2008,Lake,NETN_LS,0,0.506,pH,6.735,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/17/2008,Lake,NETN_LS,0,0.4945,DO_mgL,9.055,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/17/2008,Lake,NETN_LS,0,0.4945,DOsat_pct,95.65,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/17/2008,Lake,NETN_LS,0,0.4945,SpCond_uScm,28,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/17/2008,Lake,NETN_LS,0,0.4945,Temp_C,18.02,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/17/2008,Lake,NETN_LS,0,0.4945,Temp_F,64.436,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/17/2008,Lake,NETN_LS,0,0.4945,pH,6.31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/23/2008,Lake,NETN+ACID,0,0.5125,DO_mgL,10.685,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/23/2008,Lake,NETN+ACID,0,0.5125,DOsat_pct,94.35,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/23/2008,Lake,NETN+ACID,0,0.5125,SpCond_uScm,28,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/23/2008,Lake,NETN+ACID,0,0.5125,Temp_C,9.865,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/23/2008,Lake,NETN+ACID,0,0.5125,Temp_F,49.757,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/23/2008,Lake,NETN+ACID,0,0.5125,pH,7.355,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/21/2009,Lake,NETN_LS,0,1.01,DO_mgL,10.52,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/21/2009,Lake,NETN_LS,0,1.01,DOsat_pct,101.3,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/21/2009,Lake,NETN_LS,0,1.01,SpCond_uScm,35,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/21/2009,Lake,NETN_LS,0,1.01,Temp_C,13.69,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/21/2009,Lake,NETN_LS,0,1.01,Temp_F,56.642,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/21/2009,Lake,NETN_LS,0,1.01,pH,6.66,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/25/2009,Lake,NETN_LS,0,0.5075,DO_mgL,9.505,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/25/2009,Lake,NETN_LS,0,0.5075,DOsat_pct,98.65,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/25/2009,Lake,NETN_LS,0,0.5075,SpCond_uScm,29.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/25/2009,Lake,NETN_LS,0,0.5075,Temp_C,17.18,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/25/2009,Lake,NETN_LS,0,0.5075,Temp_F,62.924,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/25/2009,Lake,NETN_LS,0,0.5075,pH,6.265,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2009,Lake,NETN_LS,0,0.505,DO_mgL,8.95,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2009,Lake,NETN_LS,0,0.505,DOsat_pct,99.6,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2009,Lake,NETN_LS,0,0.505,SpCond_uScm,30,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2009,Lake,NETN_LS,0,0.505,Temp_C,20.59,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2009,Lake,NETN_LS,0,0.505,Temp_F,69.062,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2009,Lake,NETN_LS,0,0.505,pH,6.54,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/20/2009,Lake,NETN_LS,0,0.5245,DO_mgL,8.235,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/20/2009,Lake,NETN_LS,0,0.5245,DOsat_pct,98.65,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/20/2009,Lake,NETN_LS,0,0.5245,SpCond_uScm,29.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/20/2009,Lake,NETN_LS,0,0.5245,Temp_C,24.445,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/20/2009,Lake,NETN_LS,0,0.5245,Temp_F,76.001,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/20/2009,Lake,NETN_LS,0,0.5245,pH,6.515,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/24/2009,Lake,NETN_LS,0,0.013,DO_mgL,9.39,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/24/2009,Lake,NETN_LS,0,0.013,DOsat_pct,97.8,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/24/2009,Lake,NETN_LS,0,0.013,SpCond_uScm,26,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/24/2009,Lake,NETN_LS,0,0.013,Temp_C,17.32,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/24/2009,Lake,NETN_LS,0,0.013,Temp_F,63.176,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/24/2009,Lake,NETN_LS,0,0.013,pH,6.69,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/28/2009,Lake,NETN+ACID,0,0.497,DO_mgL,11.51,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/28/2009,Lake,NETN+ACID,0,0.497,DOsat_pct,97.75,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/28/2009,Lake,NETN+ACID,0,0.497,SpCond_uScm,25,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/28/2009,Lake,NETN+ACID,0,0.497,Temp_C,8.24,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/28/2009,Lake,NETN+ACID,0,0.497,Temp_F,46.832,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/28/2009,Lake,NETN+ACID,0,0.497,pH,6.37,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/27/2010,Lake,NETN_LS,0,0.5155,DO_mgL,9.365,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/27/2010,Lake,NETN_LS,0,0.5155,DOsat_pct,98.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/27/2010,Lake,NETN_LS,0,0.5155,SpCond_uScm,30,NA,NA
