Site,Unit,X,Y,SiteName
site_001,Mount Desert Island,559205,4907461,Jordan Pond
site_002,Schoodic,574712,4909721,SERC Campus
site_003,Mount Desert Island,554607,4895800,Bass Harbor
site_004,Mount Desert Island,549931,4903409,Western Mtns
site_005,Mount Desert Island,563101,4912371,Sieur de Monts
